class_index,review_text
4,well-done film
1,characters ramble
3,the intensity that made her an interesting character to begin with
1,'s not really funny
2,stuffs
3,somewhere in the story of Matthew Shepard
1,'s a slow study : The action is stilted and the tabloid energy embalmed .
2,of quick cutting and blurry step-printing to goose things up
3,hugely entertaining
1,kinda wrong in places
3,grand as The Lord of the Rings
2,is as appalling as any ` comedy '
2,been better off staying on the festival circuit
2,of the picture
2,unnecessary parts
2,was essentially
2,Hawn and
1,fills time
2,gulp
2,mid-seventies
4,star-power potential in this remarkable and memorable film
2,to make movies
1,because it plays everything too safe
2,exalted tagline
3,original
2,that women from Venus and men from Mars can indeed get together
1,` juvenile delinquent ' paperbacks
2,in so many teenage comedies
2,undeserved
2,Sven Wollter as the stricken composer and
2,at 80 minutes
2,killer Jeffrey Dahmer
2,doubles
3,appealing veneer
1,that is impossible to care about and is n't very funny
2,could say about Narc
4,a wonderfully warm human drama that remains vividly in memory long
2,over 90
3,A fleet-footed and pleasingly upbeat family diversion .
1,What with all the blanket statements and dime-store ruminations on vanity
3,decent performance
1,debut can be accused of being a bit undisciplined
2,Forget the Psychology 101 study of romantic obsession
1,provide much more insight than the inside column of a torn book jacket
2,turns that occasionally fortify this turgid fable
0,half-baked setups and
0,The Sweetest Thing leaves a bitter taste .
2,the first frame to the last
2,the hypocrisies of our time
4,into a sane and breathtakingly creative film
2,a prim widow
3,new energy
1,becomes lifeless and
2,is right at home in this French shocker
3,Seeing Seinfeld at home
2,were it not for the supporting cast
2,the dynamic he 's dissecting
2,breasts
0,you 'll need a stronger stomach than us .
2,better-focused than the incomprehensible Anne Rice novel
3,the dreams of youth
2,that incorporates rotoscope animation for no apparent reason except
2,on some elemental level
2,feel much
2,copies
2,with somber earnestness in the new adaptation of The Cherry Orchard
2,this movie strangely enough
0,an appalling ` Ace Ventura ' rip-off
2,much to say beyond the news
1,admittedly problematic in its narrative specifics
1,jumps around
1,profane and exploitative as the most offensive action
2,to the film 's direction
1,a minimal number
2,Marina 's could survive the hothouse emotions of teendom
2,from painful
3,hits the target audience -LRB- young Bow Wow fans -RRB-
2,splitting up
2,movies starring pop queens
1,as it is flavorless
2,promised -LRB- or threatened -RRB- for
3,like a well-made PB & J sandwich
3,truly in love with a girl
0,The Adventures of Pluto Nash is a whole lot of nada .
1,strangling the life out
1,disturbing
1,-LRB- which might have been called Freddy Gets Molested by a Dog -RRB-
1,a bad name
2,a real subject
4,epic cinema
1,of the grief
3,'s simultaneously painful and refreshing
2,transplant a Hollywood star
1,the rest are padding unashamedly appropriated from the teen-exploitation playbook
2,goes out of its way to introduce obstacles for him to stumble over .
2,the female condition
1,genre a bad name .
2,the one-hour mark
2,about growing up in a dysfunctional family
2,Taymor -RRB-
1,to hold onto what 's left of his passe ' chopsocky glory
3,edge
1,a lazy exercise
1,an unbalanced mixture of graphic combat footage and
2,its impacts upon the relationships of the survivors
1,would fit Chan like a $ 99 bargain-basement special
2,and Ron Clements
3,from stark desert
1,The Emperor 's Club turns a blind eye to the very history it pretends to teach .
2,every corner
2,Juwanna Mann ? ''
2,turn a larky chase movie
1,'s not exactly worth
3,a fine cast
2,have the restraint to fully realize them
3,The emotion is impressively true for being so hot-blooded
2,no reason to care
2,Buries
2,enough wit
4,powerful and deeply moving
2,males
2,within
2,Ziyi
4,have the worthy successor to A Better Tomorrow and The Killer which they have been patiently waiting for
2,in the title role
3,entertaining British hybrid
1,torture
3,A muddle splashed with bloody beauty as vivid as any Scorsese has ever given us .
4,the best and most mature comedy of the 2002 summer season speaks more of the season than the picture
3,on it
2,was Earnest
1,the movie would be impossible to sit through
2,who helped
0,is virtually unwatchable .
1,Trying to make head or tail of the story in the hip-hop indie Snipes is enough to give you brain strain --
2,is nit-picky about the hypocrisies of our time
2,confining color to Liyan 's backyard
2,sequences that make you
2,physics
4,A compelling story of musical passion against governmental odds
1,Just a string of stale gags
1,am baffled by Jason X.
2,the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks
4,spellbinding
2,is n't that the basis for the entire plot
4,many ways the perfect festival film :
2,Holofcener 's film offers just enough insight to keep it from being simpleminded
3,ultimately unpredictable
3,terrific to read about
3,abundant
1,get a cinematic postcard that 's superficial and unrealized .
3,Often hilarious .
2,process or even
1,little objectivity
4,warmth
3,recommend this film
1,shlockmeister
0,horrible
2,A brain twister
2,at its seams
3,becomes an overwhelming pleasure
1,the ` wow ' factor
2,the roots of his own preoccupations and obsessions
2,maintaining consciousness just
0,many bona fide groaners among too few laughs
0,What 's missing in Murder by Numbers is any real psychological grounding for the teens ' deviant behaviour .
4,have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .
3,of the world 's greatest teacher
2,` sub '
2,gravity and
2,that 's not too glorified a term
2,nearly 21\/2 hours
3,a standard-issue crime drama spat out from the Tinseltown assembly line .
3,intelligent and considered in its details
2,why somebody might devote time to see it
2,Veterans
2,Scherfig 's
2,the `` real '' portions of the film
3,you 're a fan of the series
4,the astute direction of Cardoso and beautifully detailed performances by all of the actors
2,takes aim on political correctness and suburban families
0,with bogus profundities
2,Slackers
2,Night Live
2,Piccoli 's
2,other year
2,Tambor and
2,vain
2,you scratching your head in amazement over the fact that so many talented people could participate in such an
2,clearly evident
2,recent digital glitz
3,'re all in this together
2,turning grit and vulnerability into light reading
2,Diane Lane 's
0,obscenely bad
2,hero worship
2,Lane
3,the film buzz and whir ;
2,been raised above sixth-grade height
2,large ...
1,an ancient librarian whacking a certain part of a man 's body
3,be pleasant in spite of its predictability
2,did n't make me want to lie down in a dark room with something cool to my brow
2,bathos
3,add up to a moving tragedy with some buoyant human moments .
3,mixes in as much humor as pathos to take us on his sentimental journey of the heart
2,Yvan Attal
2,to repulse any generation of its fans
2,Inc.
2,upon the original hit movie
2,we settle for
